product_name;product_price
Teclado gamer SteelSeries Apex 7 TKL RGB;R$ 835,21
Teclado Gamer Huntsman V2 Chroma RGB com Apoio de Pulso RZ03-03930200-R3U1 - Razer;R$ 2.374,90
Teclado Gamer Redragon Dyaus 2 ABNT 2 K509RGB;R$ 132,21
Kit Teclado + Mouse Gamer 6400dpi Rgb Rainbow Ranger Grafite Fortrek;R$ 129,40
Combo Gamer XZONE, Teclado com 7 Cores de Iluminação + Mouse 3200 DPI - GTC-01;R$ 169,90
Teclado Mecânico Redragon Kumara RGB Preto Switch Preto K552RGB-1;R$ 327,88
Teclado Gamer Mecanico Sem Fio RGB Attack Shark K86 com Tela Multimidia;R$ 454,00
Teclado Mecânico Gamer Warrior Dunky, LED Rainbow, Switch Outemu Blue, ABNT2 - TC248;R$ 219,32
Teclado Mecânico Gamer Gamdias Hermes E3 RGB USB Switch Red -;R$ 336,52
Limpeza de teclado com escova macia Cleaner 5 em 1 Ferramentas multifuncionais de limpeza de computador, escova de limpeza de teclado, para laptop limpo, fone de ouvido, teclado, mesa e outras fendas;R$ 11,99
Teclado Multi com fio USB TC193;R$ 21,27
Teclado Numérico Usb 18 Teclas Exbom Bk-n30;R$ 16,90
Teclado E Mouse Recarregável Bluetooth TC250 Multilaser;R$ 159,80
OEX TC302 Teclado Rainbow,;R$ 169,40
TECLADO MULTIMíDIA USB MULTILASER- TC206;R$ 35,91
Teclado Multimidia Office USB com Apoio para Smartphone TC262;R$ 46,90
Kit Gamer Profissionl Teclado e Mouse Exbom BK-G3000 com Iluminação LED Acabamento em Metal Usb 2.0 Preto;R$ 82,90
Teclado Bright 0134 Numérico Retrátil Usb;R$ 39,90
Teclado Gamer Redragon Optico Broadsword K588rgb-pro;R$ 589,52
Teclado Mecânico Gamer Redragon Kala Branco Rgb Switch Red;R$ 309,90
TECLADO GAMER MEC RBW FORTREK BLACK HAWK;R$ 263,90
Kit Essential Teclado E Mouse Maxprint Usb Abnt2;R$ 48,00
Teclado Mecânico Gamer Logitech G413 Carbon Com Layout Abnt2, Iluminação , Usb Passthrough E Switch Exclusivo Romer-G;R$ 499,90
Teclado Gamer Mecanico RGB Cruiser DARK GREY Fortrek;R$ 377,46
